dt,final_reflection
5.0,3.2417786987577505e+69
4.545454545454546,2.3147443894070992e+66
3.8461538461538463,2.9950079282829676e+82
3.3333333333333335,4.7430146390971144e+89
2.9411764705882355,7.420593811971288e+95
2.5,3.96963906408739e+103
2.1739130434782608,5.622367116478934e+109
1.9230769230769231,1.6175194583598744e+114
1.6666666666666667,3.0425859416356055e+118
1.4285714285714286,4.9418184700080165e+120
1.25,4.109504652799742e+119
1.0638297872340425,3.4676438899393444e+115
0.9259259259259259,8.890420405224606e+106
0.8064516129032258,5.618802726517017e+87
0.704225352112676,4.8100390349204894e+64
0.6097560975609756,5.653670794598269e+36
0.5263157894736842,6979775978623.244
0.45871559633027525,1.364508078600894
0.3968253968253968,1.874302037450292
0.3448275862068966,1.8848305573113717
0.2994011976047904,1.5485442076456364
0.25906735751295334,2.124899156799414
0.22522522522522523,1.5046660836871268
0.19607843137254902,1.2447193217628718
0.17006802721088435,1.1181264782026459
0.14749262536873156,1.0552381841083953
0.1282051282051282,1.0236569984274337
0.111358574610245,1.0072912638053821
0.09671179883945841,0.998882520154962
0.08389261744966443,0.9945655274987917
0.0728862973760933,0.9924041142953826
0.06329113924050633,0.9913085761049685
0.054945054945054944,0.9907580449763992
0.04770992366412214,0.9904835066254069
0.04145936981757877,0.9903473172583472
0.03599712023038157,0.990279197472945
0.031269543464665414,0.9902456215658336
0.02714440825190011,0.9902290265509583
0.02358490566037736,0.9902209815407613
0.020475020475020474,0.9902170846083219
0.017787264318747775,0.9902152653939229
0.015446400988569663,0.9902144500417498
0.013415615776764154,0.9902141240034164
0.011652295502213935,0.9902140296821398
0.010119409026512852,0.9902140413280612
0.008788890841975743,0.9902140977921632
0.007632422530911311,0.990214169828857
0.006628662335940607,0.9902142437000739
0.0057570523891767415,0.9902143134451307
0.005,0.9902143767825307
