ir_tab,uv_tab,reflection_tab
6.283185307179586,50.26548245743669,0.9900982754068736
6.283185307179586,79.58701389094142,0.9901021969093405
6.283185307179586,108.90854532444617,0.9901288793176516
6.283185307179586,138.2300767579509,0.9902438744292195
6.283185307179586,167.55160819145564,0.9905748625647106
6.283185307179586,196.87313962496037,0.9913284049376074
6.283185307179586,226.19467105846513,0.9928034460346074
6.283185307179586,255.51620249196986,0.9953649024125543
6.283185307179586,284.8377339254746,0.9994681285593882
6.283185307179586,314.1592653589793,1.0056583642113568
