uv_cutoff_tab,final_reflection_tab
39.269908169872416,0.8354249293019149
48.74885152122093,0.9579596870641489
58.22779487256945,0.9884766603440066
67.70673822391797,0.9888783224667582
77.18568157526647,0.9774442864220962
86.664624926615,0.9611486492804023
96.14356827796351,0.9430355193320316
105.62251162931202,0.9245332860509946
115.10145498066055,0.9064519976694798
124.58039833200905,0.88888074766916
134.0593416833576,0.8720897727522707
143.5382850347061,0.8561304687389409
153.0172283860546,0.8410032415002825
162.49617173740313,0.8266821711340735
171.97511508875164,0.8131286006610401
181.45405844010017,0.8003813990129829
190.93300179144867,0.7882261023506737
200.41194514279718,0.7767066718637418
209.8908884941457,0.7657823463116615
219.36983184549422,0.7554155550395116
228.84877519684275,0.745572129646161
238.32771854819126,0.7362213019765137
247.80666189953976,0.7273929539860996
257.2856052508883,0.7189451060819073
266.7645486022368,0.7109165985549437
276.2434919535853,0.7032885697574962
285.7224353049338,0.6960446070241424
295.2013786562823,0.6891705401652833
304.6803220076308,0.6826542486253799
314.1592653589793,0.6764854840090628
