n_tab,reflection_tab
0,0.977779583667843
1,0.864696343374533
2,0.864696343374533
3,0.8684912067967275
4,0.8684912067967275
5,0.868107298457328
6,0.868107298457328
7,0.8681528226930431
8,0.8681528226930431
9,0.8681471830723647
10,0.8681471830723647
