dt,omega_p,final_reflection
5.0,31.41592653589793,1.5737107836108392e+48
5.0,30.630528372500482,2.203559498447433e+48
5.0,29.845130209103033,2.5875390224350144e+48
4.545454545454546,31.41592653589793,5.60427589698237e+44
4.545454545454546,30.630528372500482,7.813558941512785e+44
4.545454545454546,29.845130209103033,1.1753911373634388e+45
4.166666666666667,31.41592653589793,2.770952673695201e+53
4.166666666666667,30.630528372500482,3.605360891058332e+53
4.166666666666667,29.845130209103033,6.429864816453781e+53
3.8461538461538463,31.41592653589793,5.51082792770579e+55
3.8461538461538463,30.630528372500482,6.140956032742376e+55
3.8461538461538463,29.845130209103033,1.1598118761150664e+56
3.5714285714285716,31.41592653589793,5.432850363652551e+57
3.5714285714285716,30.630528372500482,5.5932945960631366e+57
3.5714285714285716,29.845130209103033,1.0881531479550348e+58
3.3333333333333335,31.41592653589793,2.456229445963214e+59
3.3333333333333335,30.630528372500482,2.542803107170476e+59
3.3333333333333335,29.845130209103033,5.1900245097186e+59
3.125,31.41592653589793,5.851891071050681e+60
3.125,30.630528372500482,6.138959709461391e+60
3.125,29.845130209103033,1.2923374363184472e+61
2.9411764705882355,31.41592653589793,9.774347815101974e+61
2.9411764705882355,30.630528372500482,9.925706858771228e+61
2.9411764705882355,29.845130209103033,2.0345959741286324e+62
2.7777777777777777,31.41592653589793,1.2695887349822707e+63
2.7777777777777777,30.630528372500482,1.1956951255912482e+63
2.7777777777777777,29.845130209103033,2.2504114904030602e+63
2.5,31.41592653589793,6.759429250238044e+64
2.5,30.630528372500482,5.371931461295594e+64
2.5,29.845130209103033,7.842475033013938e+64
2.380952380952381,31.41592653589793,2.411272137554796e+65
2.380952380952381,30.630528372500482,1.805752174821897e+65
2.380952380952381,29.845130209103033,2.343110353262253e+65
2.1739130434782608,31.41592653589793,6.871383404550582e+65
2.1739130434782608,30.630528372500482,4.8520993368371135e+65
2.1739130434782608,29.845130209103033,5.461920210101403e+65
2.0833333333333335,31.41592653589793,5.028477891560797e+65
2.0833333333333335,30.630528372500482,3.508763749924273e+65
2.0833333333333335,29.845130209103033,3.842181935866796e+65
1.9230769230769231,31.41592653589793,4.3050828237429104e+64
1.9230769230769231,30.630528372500482,2.9407604763657265e+64
1.9230769230769231,29.845130209103033,3.171106909823002e+64
1.7857142857142858,31.41592653589793,6.156435814894166e+62
1.7857142857142858,30.630528372500482,3.9961447558899806e+62
1.7857142857142858,29.845130209103033,4.174262920289243e+62
1.6666666666666667,31.41592653589793,5.0319493479286665e+60
1.6666666666666667,30.630528372500482,2.9431728339941096e+60
1.6666666666666667,29.845130209103033,2.7702401281399833e+60
1.5625,31.41592653589793,3.577688657638381e+58
1.5625,30.630528372500482,1.792865961771072e+58
1.5625,29.845130209103033,1.401553808133507e+58
1.4285714285714286,31.41592653589793,7.766011797755136e+54
1.4285714285714286,30.630528372500482,2.865492889247401e+54
1.4285714285714286,29.845130209103033,1.4718737930981686e+54
1.3513513513513513,31.41592653589793,6.281697704976617e+51
1.3513513513513513,30.630528372500482,1.7821591377421724e+51
1.3513513513513513,29.845130209103033,6.288228065305287e+50
1.25,31.41592653589793,1.686733502496459e+45
1.25,30.630528372500482,2.579941971518601e+44
1.25,29.845130209103033,4.95206674094668e+43
1.1627906976744187,31.41592653589793,1.256670776029058e+31
1.1627906976744187,30.630528372500482,1.4787151453284708e+29
1.1627906976744187,29.845130209103033,2.332158814835042e+28
1.0869565217391304,31.41592653589793,2.524261767650524e+27
1.0869565217391304,30.630528372500482,3.2419908706788097e+27
1.0869565217391304,29.845130209103033,5.334379066380985e+25
1.0204081632653061,31.41592653589793,5.0334029631772425e+23
1.0204081632653061,30.630528372500482,2.593266500384273e+25
1.0204081632653061,29.845130209103033,7.076169214382171e+22
0.9433962264150944,31.41592653589793,2.0602844132407034e+17
0.9433962264150944,30.630528372500482,1.3488365113591763e+21
0.9433962264150944,29.845130209103033,2.3366274547997184e+17
0.8771929824561403,31.41592653589793,290152568392.5791
0.8771929824561403,30.630528372500482,8832285791213348.0
0.8771929824561403,29.845130209103033,16805842955.327156
0.819672131147541,31.41592653589793,202786.2648478995
0.819672131147541,30.630528372500482,41818032608.32099
0.819672131147541,29.845130209103033,170477.45167288848
0.7692307692307693,31.41592653589793,6.402499883747977
0.7692307692307693,30.630528372500482,771674.8606174422
0.7692307692307693,29.845130209103033,4.804172283828727
0.7142857142857143,31.41592653589793,3.0933470816730555
0.7142857142857143,30.630528372500482,38.124324144488185
0.7142857142857143,29.845130209103033,1.6093312089345162
0.6666666666666666,31.41592653589793,2.10189155772831
0.6666666666666666,30.630528372500482,2.2292742759359356
0.6666666666666666,29.845130209103033,1.279830366247445
0.6172839506172839,31.41592653589793,2.9685498225145586
0.6172839506172839,30.630528372500482,1.1192716843024073
0.6172839506172839,29.845130209103033,0.8634040128826801
0.5813953488372093,31.41592653589793,2.2518051780913857
0.5813953488372093,30.630528372500482,1.2168434555438494
0.5813953488372093,29.845130209103033,0.5832158340033592
0.5376344086021505,31.41592653589793,1.7432005831882018
0.5376344086021505,30.630528372500482,1.14011898684293
0.5376344086021505,29.845130209103033,0.5235406438404155
0.5,31.41592653589793,1.4799000823140886
0.5,30.630528372500482,1.053673106939522
0.5,29.845130209103033,0.5472571375041465
0.4672897196261682,31.41592653589793,1.3268701186621497
0.4672897196261682,30.630528372500482,0.9886852638069962
0.4672897196261682,29.845130209103033,0.5475976004120101
0.43859649122807015,31.41592653589793,1.2308490190672208
0.43859649122807015,30.630528372500482,0.9420132240472829
0.43859649122807015,29.845130209103033,0.5426900458184308
0.4065040650406504,31.41592653589793,1.1531391621501779
0.4065040650406504,30.630528372500482,0.9006509494541874
0.4065040650406504,29.845130209103033,0.5353234443413607
0.3787878787878788,31.41592653589793,1.1045121809873184
0.3787878787878788,30.630528372500482,0.8729743266832491
0.3787878787878788,29.845130209103033,0.52885168337917
0.3546099290780142,31.41592653589793,1.0726520660372965
0.3546099290780142,30.630528372500482,0.8539958661927972
0.3546099290780142,29.845130209103033,0.5236598765839763
0.33112582781456956,31.41592653589793,1.0490830975031908
0.33112582781456956,30.630528372500482,0.839459095076712
0.33112582781456956,29.845130209103033,0.519224086013739
0.30864197530864196,31.41592653589793,1.031953632061479
