omega,j,k,W,F_real,F_imag,reference_Omega,reference_d
29.41592653589793,0,0,0.0008,-0.18169802392068846,-0.09398462585593068,31.41592653589793,1.0
29.41592653589793,0,1,0.0008,0.2942634873010299,0.12435311964412452,31.41592653589793,1.0
29.41592653589793,0,2,0.0008,-0.09231535213962352,0.008341301718240664,31.41592653589793,1.0
29.41592653589793,0,3,0.0008,-0.2145126765238031,-0.14230543008061908,31.41592653589793,1.0
29.41592653589793,0,4,0.0008,0.2159646607017695,0.05565482296779836,31.41592653589793,1.0
29.41592653589793,1,0,0.0008,0.29426348730103014,0.12435311964412436,31.41592653589793,1.0
29.41592653589793,1,1,0.0008,-0.4118432403022446,-0.24542327511183745,31.41592653589793,1.0
29.41592653589793,1,2,0.0008,0.17438823636545964,0.001181626796760385,31.41592653589793,1.0
29.41592653589793,1,3,0.0008,0.1628103651541766,0.2352912073105435,31.41592653589793,1.0
29.41592653589793,1,4,0.0008,-0.2145126765238028,-0.14230543008061902,31.41592653589793,1.0
29.41592653589793,2,0,0.0008,-0.09231535213962375,0.008341301718240678,31.41592653589793,1.0
29.41592653589793,2,1,0.0008,0.17438823636545975,0.001181626796760482,31.41592653589793,1.0
29.41592653589793,2,2,0.0008,-0.19609773206658948,-0.012531711367485765,31.41592653589793,1.0
29.41592653589793,2,3,0.0008,0.17438823636546003,0.0011816267967599547,31.41592653589793,1.0
29.41592653589793,2,4,0.0008,-0.09231535213962394,0.008341301718240886,31.41592653589793,1.0
29.41592653589793,3,0,0.0008,-0.21451267652380285,-0.1423054300806189,31.41592653589793,1.0
29.41592653589793,3,1,0.0008,0.1628103651541763,0.23529120731054298,31.41592653589793,1.0
29.41592653589793,3,2,0.0008,0.17438823636546025,0.001181626796760312,31.41592653589793,1.0
29.41592653589793,3,3,0.0008,-0.41184324030224545,-0.2454232751118371,31.41592653589793,1.0
29.41592653589793,3,4,0.0008,0.2942634873010304,0.1243531196441242,31.41592653589793,1.0
29.41592653589793,4,0,0.0008,0.2159646607017695,0.055654822967798376,31.41592653589793,1.0
29.41592653589793,4,1,0.0008,-0.21451267652380274,-0.14230543008061897,31.41592653589793,1.0
29.41592653589793,4,2,0.0008,-0.09231535213962395,0.00834130171824081,31.41592653589793,1.0
29.41592653589793,4,3,0.0008,0.2942634873010304,0.12435311964412425,31.41592653589793,1.0
29.41592653589793,4,4,0.0008,-0.1816980239206886,-0.0939846258559306,31.41592653589793,1.0
29.497559188959155,0,0,0.0008,-0.19614664182342953,-0.11267360054010472,31.41592653589793,1.0
29.497559188959155,0,1,0.0008,0.30893937431122476,0.15202592611110882,31.41592653589793,1.0
29.497559188959155,0,2,0.0008,-0.0946997139841155,0.008341914410726889,31.41592653589793,1.0
29.497559188959155,0,3,0.0008,-0.2248516570016364,-0.17021094593230127,31.41592653589793,1.0
29.497559188959155,0,4,0.0008,0.22819720465801177,0.0750741824101448,31.41592653589793,1.0
29.497559188959155,1,0,0.0008,0.3089393743112248,0.15202592611110838,31.41592653589793,1.0
29.497559188959155,1,1,0.0008,-0.42679944008206705,-0.28439038488152807,31.41592653589793,1.0
29.497559188959155,1,2,0.0008,0.18157113253404475,0.0013656252035278982,31.41592653589793,1.0
29.497559188959155,1,3,0.0008,0.1667513411601796,0.27397792146261624,31.41592653589793,1.0
29.497559188959155,1,4,0.0008,-0.2248516570016365,-0.17021094593230107,31.41592653589793,1.0
29.497559188959155,2,0,0.0008,-0.09469971398411564,0.008341914410726972,31.41592653589793,1.0
29.497559188959155,2,1,0.0008,0.18157113253404483,0.0013656252035282451,31.41592653589793,1.0
29.497559188959155,2,2,0.0008,-0.2061324663876591,-0.012853552329241236,31.41592653589793,1.0
29.497559188959155,2,3,0.0008,0.18157113253404442,0.001365625203528023,31.41592653589793,1.0
29.497559188959155,2,4,0.0008,-0.09469971398411525,0.008341914410726785,31.41592653589793,1.0
29.497559188959155,3,0,0.0008,-0.22485165700163623,-0.17021094593230113,31.41592653589793,1.0
29.497559188959155,3,1,0.0008,0.1667513411601796,0.2739779214626161,31.41592653589793,1.0
29.497559188959155,3,2,0.0008,0.18157113253404444,0.001365625203527985,31.41592653589793,1.0
29.497559188959155,3,3,0.0008,-0.4267994400820666,-0.28439038488152757,31.41592653589793,1.0
29.497559188959155,3,4,0.0008,0.3089393743112244,0.15202592611110846,31.41592653589793,1.0
29.497559188959155,4,0,0.0008,0.2281972046580117,0.07507418241014477,31.41592653589793,1.0
29.497559188959155,4,1,0.0008,-0.22485165700163645,-0.17021094593230107,31.41592653589793,1.0
29.497559188959155,4,2,0.0008,-0.09469971398411527,0.00834191441072682,31.41592653589793,1.0
29.497559188959155,4,3,0.0008,0.3089393743112245,0.15202592611110846,31.41592653589793,1.0
29.497559188959155,4,4,0.0008,-0.19614664182342934,-0.11267360054010472,31.41592653589793,1.0
29.57919184202038,0,0,0.0008,-0.21009120844217852,-0.13674634951564468,31.41592653589793,1.0
29.57919184202038,0,1,0.0008,0.32176588354060753,0.18649183614428366,31.41592653589793,1.0
29.57919184202038,0,2,0.0008,-0.09734014786677458,0.00835760022159679,31.41592653589793,1.0
29.57919184202038,0,3,0.0008,-0.23297185493495765,-0.2049275951140872,31.41592653589793,1.0
29.57919184202038,0,4,0.0008,0.23979887511146397,0.0998820537913371,31.41592653589793,1.0
