ir_tab,uv_tab,reflection_tab
9.42477796076938,15.707963267948966,
5.199877495596899,19.932863733121444,
0.9749770304244194,24.157764198293926,
-3.2499234347480606,28.382664663466407,
-7.4748238999205405,32.60756512863888,0.3240703012845159
-11.699724365093022,36.832465593811364,0.44969928388089747
-15.9246248302655,41.057366058983845,0.5142007951613263
-20.149525295437982,45.28226652415633,0.556915884061015
-24.374425760610464,49.50716698932881,0.5879008194530357
-28.599326225782946,53.73206745450129,0.6119120370624724
-32.82422669095543,57.95696791967377,0.6306406585550113
-37.049127156127895,62.18186838484624,0.6458930854921487
-41.27402762130038,66.40676885001872,0.6585716725058997
-45.49892808647286,70.6316693151912,0.6694334909901707
-49.72382855164534,74.85656978036369,0.6785920826061635
-53.94872901681782,79.08147024553617,0.6865302149818412
-58.173629481990304,83.30637071070865,0.6934786215241826
-62.398529947162785,87.53127117588113,0.6996991414210114
-66.62343041233527,91.75617164105361,0.7051466144133348
-70.84833087750775,95.9810721062261,0.7100253397180561
-75.07323134268023,100.20597257139858,0.7144210352987358
-79.2981318078527,104.43087303657104,0.7184597631066683
-83.52303227302518,108.65577350174352,0.722080295789253
-87.74793273819766,112.880673966916,0.7253919702928954
-91.97283320337014,117.10557443208849,0.7284341043520935
-96.19773366854263,121.33047489726097,0.7312801041127228
-100.4226341337151,125.55537536243345,0.7338747991025876
-104.64753459888759,129.78027582760592,0.7362858618889419
-108.87243506406006,134.0051762927784,0.7385341358592747
-113.09733552923255,138.23007675795088,0.7405493202346278
